fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,score
1001,2000-01-01,0.22,100.51,9.65,14.74,13.51,13.51,20.96,11.46,9.5,14.65,2.2,2.94,1.49,1.46,4.85,6.04,3.23,2.81,
1001,2000-01-02,0.2,100.55,10.42,16.69,14.71,14.71,22.8,12.61,10.18,16.6,2.52,3.43,1.83,1.6,5.33,6.13,3.72,2.41,
1001,2000-01-03,3.65,100.15,11.76,18.49,16.52,16.52,22.73,15.32,7.41,18.41,4.03,5.33,2.66,2.67,7.53,9.52,5.87,3.66,
1001,2000-01-04,15.95,100.29,6.42,11.4,6.09,6.1,18.09,2.16,15.92,11.31,3.84,5.67,2.08,3.59,6.73,9.31,3.74,5.58,1.0
1001,2000-01-05,0.0,101.15,2.95,3.86,-3.29,-3.2,10.82,-2.66,13.48,2.65,1.6,2.5,0.52,1.98,2.94,4.85,0.65,4.19,
1001,2000-01-06,0.01,101.31,3.49,4.99,-1.11,-1.07,12.89,-2.96,15.85,3.32,1.55,2.39,0.04,2.35,2.95,5.22,0.05,5.17,
1001,2000-01-07,0.01,101.37,3.93,5.99,0.55,0.58,14.51,0.63,13.88,5.69,2.31,3.28,1.59,1.69,5.02,6.47,2.44,4.03,
1001,2000-01-08,1.02,100.77,5.71,8.69,5.33,5.34,15.78,2.74,13.04,8.75,2.05,2.91,1.5,1.4,4.17,5.73,2.01,3.72,
1001,2000-01-09,16.19,99.88,11.18,15.73,15.45,15.45,19.6,10.3,9.31,15.65,3.03,3.98,2.25,1.73,5.97,7.44,4.95,2.49,
1001,2000-01-10,21.23,99.78,7.77,13.61,9.59,9.6,17.65,7.73,9.92,13.42,3.1,5.6,1.72,3.88,6.33,10.03,4.15,5.88,
1001,2000-01-11,1.33,100.4,6.63,11.48,7.84,7.84,18.88,5.72,13.16,10.43,1.76,2.48,1.05,1.43,3.55,6.38,1.71,4.67,2.0
1001,2000-01-12,0.17,100.59,8.39,13.02,11.36,11.36,20.74,6.43,14.31,12.91,2.26,2.76,1.45,1.31,5.05,7.27,2.1,5.17,
1001,2000-01-13,1.57,101.03,7.23,13.17,8.0,8.02,19.09,3.97,15.12,12.95,3.23,4.57,2.02,2.56,6.41,7.4,4.77,2.63,
1001,2000-01-14,0.0,102.3,2.82,3.16,-3.74,-3.64,10.57,-1.56,12.14,3.13,2.74,3.71,1.78,1.93,5.32,6.72,3.6,3.12,
1001,2000-01-15,0.04,102.05,3.37,4.11,-1.59,-1.54,13.56,-3.19,16.75,4.11,2.22,2.82,1.58,1.24,4.94,7.0,2.03,4.97,
1001,2000-01-16,0.54,101.55,6.52,9.09,7.23,7.23,16.77,1.4,15.38,9.07,2.0,3.16,1.38,1.78,4.4,5.34,2.42,2.91,
1001,2000-01-17,2.4,101.02,8.99,14.0,12.46,12.46,19.75,10.27,9.48,13.47,1.39,2.18,0.55,1.63,2.78,5.43,0.93,4.5,
1001,2000-01-18,1.11,100.39,9.53,14.28,13.26,13.26,18.04,8.98,9.06,14.19,2.63,3.6,1.67,1.92,5.19,6.4,3.84,2.55,2.0
1001,2000-01-19,1.9,99.95,6.33,9.51,6.57,6.58,15.27,4.88,10.38,9.54,2.43,4.57,1.57,3.0,4.66,8.51,2.95,5.56,
1001,2000-01-20,0.23,100.16,3.91,6.61,-0.94,-0.84,13.25,-1.88,15.13,6.58,4.23,5.26,2.21,3.05,7.43,8.69,4.62,4.07,
1001,2000-01-21,0.0,100.81,2.1,-0.32,-7.69,-7.44,6.78,-5.18,11.96,-0.21,2.2,3.09,1.56,1.53,4.22,5.0,3.18,1.81,
1001,2000-01-22,8.98,100.24,4.44,4.19,1.18,1.21,10.4,-1.82,12.22,4.25,2.36,3.24,1.46,1.78,4.47,6.02,3.07,2.96,
1001,2000-01-23,13.5,99.87,7.33,9.62,9.0,9.0,12.68,4.32,8.36,9.54,2.31,3.08,1.21,1.86,4.17,6.73,2.39,4.35,
1001,2000-01-24,0.88,100.17,3.38,2.38,-1.76,-1.72,7.49,-3.84,11.33,2.47,3.65,4.8,2.41,2.39,6.19,7.24,4.86,2.38,
1001,2000-01-25,0.0,100.11,2.05,-0.78,-7.93,-7.72,5.65,-5.46,11.11,-0.61,3.35,4.59,2.28,2.32,5.75,8.03,3.96,4.07,2.0
1001,2000-01-26,0.24,100.75,1.73,-2.3,-9.76,-9.46,3.17,-5.27,8.44,-2.1,2.87,4.01,1.62,2.39,5.28,6.94,4.07,2.87,
1001,2000-01-27,0.24,101.17,2.39,-0.14,-6.02,-5.89,7.06,-5.32,12.38,-0.03,1.9,2.75,1.41,1.35,3.85,5.76,2.34,3.41,
1001,2000-01-28,15.58,101.22,3.52,0.61,-0.9,-0.89,2.51,-0.74,3.25,0.67,3.26,4.05,1.69,2.36,5.4,6.38,3.44,2.93,
1001,2000-01-29,8.39,100.93,4.56,3.07,2.54,2.55,5.83,0.55,5.28,3.01,2.12,3.75,0.97,2.79,3.75,6.97,1.85,5.12,
1001,2000-01-30,0.87,100.94,3.88,2.32,0.26,0.27,7.28,-3.16,10.44,2.31,2.27,3.41,1.27,2.14,4.28,5.77,2.19,3.58,
1001,2000-01-31,0.0,100.94,2.81,-0.27,-3.93,-3.88,7.06,-4.75,11.81,-0.27,2.09,2.77,1.39,1.37,3.87,5.04,2.9,2.14,
1001,2000-02-01,0.0,101.0,3.36,2.06,-1.73,-1.7,11.02,-4.21,15.23,1.88,2.03,2.74,0.88,1.86,4.18,6.38,1.27,5.11,1.0
1001,2000-02-02,0.0,101.24,2.92,2.09,-3.42,-3.36,10.66,-4.3,14.96,1.27,2.01,2.63,1.54,1.09,3.39,4.37,2.18,2.19,
1001,2000-02-03,0.0,100.5,3.69,4.79,-0.79,-0.74,12.86,-3.19,16.05,3.6,2.09,3.29,0.61,2.68,4.16,7.54,0.79,6.75,
1001,2000-02-04,0.0,100.56,3.64,5.39,-0.87,-0.81,11.77,-1.32,13.09,5.4,3.26,5.03,2.04,2.99,5.99,8.35,3.17,5.18,
1001,2000-02-05,0.0,101.42,2.76,0.78,-4.1,-4.03,8.62,-4.29,12.91,0.8,2.28,3.14,1.58,1.56,4.49,5.82,3.23,2.6,
1001,2000-02-06,0.0,101.43,2.82,2.67,-3.96,-3.87,11.23,-4.84,16.06,1.47,1.72,2.53,0.54,1.99,2.8,4.3,0.78,3.52,
1001,2000-02-07,0.0,101.19,3.98,6.04,0.62,0.64,13.45,0.14,13.3,4.63,1.87,2.58,0.57,2.02,3.12,5.45,0.74,4.72,
